,statement,behavior,everyday,figure_of_speech,judgment,opinion,reasoning,category,elicitation,human_q1,GPT-3.5_q1,GPT-4-0125_q1,GPT-4-0409_q1,GPT-4o_q1,GPT-5_q1,LLaMA-2-7B_q1,LLaMA-2-13B_q1,LLaMA-2-70B_q1,LLaMA-3-8B_q1,LLaMA-3-70B_q1,Flan-T5-Small_q1,Flan-T5-Base_q1,Flan-T5-Large_q1,Flan-T5-XL_q1,Flan-T5-XXL_q1,Gemma-2B_q1,Gemma-7B_q1,Gemini Pro 1.0_q1,Mistral-7B_q1,Mixtral-8x7B_q1,Mixtral-8x22B_q1,Mistral-Large_q1,OLMo-7B_q1,Falcon-7B_q1,Falcon-40B_q1,Falcon-180B_q1,Claude 3 Opus_q1,Claude 3 Sonnet_q1,Claude 3 Haiku_q1,DBRX_q1,Qwen2-0.5B_q1,Qwen2-1.5B_q1,Qwen2-7B_q1,Qwen2-57B_q1,Qwen2-72B_q1,GPT-3.5_q2,GPT-4-0125_q2,GPT-4-0409_q2,GPT-4o_q2,GPT-5_q2,LLaMA-2-7B_q2,LLaMA-2-13B_q2,LLaMA-2-70B_q2,LLaMA-3-8B_q2,LLaMA-3-70B_q2,Flan-T5-Small_q2,Flan-T5-Base_q2,Flan-T5-Large_q2,Flan-T5-XL_q2,Flan-T5-XXL_q2,Gemma-2B_q2,Gemma-7B_q2,Gemini Pro 1.0_q2,Mistral-7B_q2,Mixtral-8x7B_q2,Mixtral-8x22B_q2,Mistral-Large_q2,OLMo-7B_q2,Falcon-7B_q2,Falcon-40B_q2,Falcon-180B_q2,Claude 3 Opus_q2,Claude 3 Sonnet_q2,Claude 3 Haiku_q2,DBRX_q2,Qwen2-0.5B_q2,Qwen2-1.5B_q2,Qwen2-7B_q2,Qwen2-57B_q2,Qwen2-72B_q2
10,A cat doesn't want a bath.,0,1,0,1,1,0,General reference,Concept Net,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,A cat doesn't want its tail pulled.,0,1,0,1,0,1,General reference,Concept Net,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,A cat doesn't want to be wet.,0,1,0,1,0,1,Natural and physical sciences,Concept Net,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,A cat doesn't want to get wet.,0,1,0,0,0,0,Natural and physical sciences,Concept Net,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,A cat is a feline.,0,0,0,0,0,1,Natural and physical sciences,Concept Net,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,A celebrity is a person who works hard all his life to become well known then wears dark glasses to avoid being recognized.,1,0,0,1,1,0,Human activities,aphorism,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0
16,A child does not laugh at the ugliness of its mother.,1,1,0,1,1,0,People and self,aphorism,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
17,A circle is round.,0,1,0,0,0,0,General reference,Concept Net,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,A computer can be turned on by pressing its power button.,0,1,0,0,0,0,Technology and applied sciences,category response,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,A computer virus is not living.,0,1,0,0,0,0,Technology and applied sciences,Concept Net,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,A couch potato needs to establish a program to promote good health and fitness.,1,0,0,0,0,1,Health and fitness,category response,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
21,A crime would make you want to conduct a trial.,1,1,1,0,1,0,Society and social sciences,Concept Net,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1
22,A deaf husband and a blind wife are a happy couple.,1,0,0,1,1,1,Society and social sciences,aphorism,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0
23,A democracy is two wolves and a small lamb voting on what to have for dinner freedom under a constitutional republic is a well armed lamb contesting the vote.,1,1,1,1,0,0,History and events,aphorism,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0
24,A desire to share knowledge would make you want to teach other people.,1,0,1,1,1,1,General reference,Concept Net,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,A different language is a different vision of life.,1,0,1,1,1,0,Philosophy and thinking,aphorism,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,A doctor and a farmer know more than a doctor alone.,0,0,0,0,0,1,History and events,aphorism,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
27,A dog doesn't want fleas.,0,1,0,1,0,0,Natural and physical sciences,Concept Net,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,A fanatic is one who can`t change his mind and won`t change the subject.,0,0,1,0,1,1,Culture and the arts,aphorism,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
29,A few people don t say what they think and some others don t think before they speak.,1,1,1,1,1,0,People and self,aphorism,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,A few vices are sufficient to darken many virtues.,1,0,1,1,1,0,Philosophy and thinking,aphorism,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
31,A fool is busy with anyone s business but his own.,1,0,1,1,1,0,People and self,aphorism,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0
32,A fracking ban should not be implemented.,0,1,1,0,0,1,Health and fitness,news media,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
33,A freshman in college would drop out.,1,0,0,0,1,0,Culture and the arts,category response,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
34,A full bladder would make you want to urinate.,0,1,0,0,0,0,Health and fitness,Concept Net,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,A gardener s dog neither eats cabbage nor lets anybody else.,1,1,1,1,1,0,People and self,aphorism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
36,A gay person doesn't want homophobia.,1,1,0,1,1,1,People and self,Concept Net,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1
37,A generally accepted opinion is not on that basis guaranteed valid or a proof of its accuracy equally it is not proof of its falsity.,1,0,1,1,0,1,Philosophy and thinking,aphorism,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,A goal should scare you a little and excite you a lot.,1,0,0,1,1,1,General reference,aphorism,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,A good laugh and a long sleep are the best cures in the doctor s book.,1,1,1,0,0,0,People and self,aphorism,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
40,A good logistics corridor will have great access to water rail highway and a large market for service.,1,1,1,1,1,1,General reference,news media,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,A good marriage would be between a blind wife and a deaf husband.,1,1,1,1,1,0,General reference,aphorism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
42,A good nights sleep is often over looked by health nuts and fitness fanatics'.,1,1,0,1,1,0,Health and fitness,category response,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,1
43,A good way to be healthy is to exercise.,0,0,0,0,0,1,Health and fitness,category response,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44,A grain of sand is very small.,1,0,0,0,0,0,Natural and physical sciences,Concept Net,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,A great boss would not make employees work overtime without compensation.,0,1,0,1,0,1,Human activities,category response,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
46,A gregarious person doesn't want to be alone.,1,0,0,1,0,1,People and self,Concept Net,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
47,A happy marriage is a long conversation which always seems too short.,1,0,1,1,1,1,People and self,aphorism,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
48,A heart can no more be forced to love than a stomach can be forced to digest food by persuasion.,1,0,1,1,1,1,Philosophy and thinking,aphorism,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
49,A hexagon will always have six sides.,0,1,0,0,0,0,Mathematics and logic,category response,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50,A hidden connection is stronger than an obvious one.,0,0,1,0,0,0,Culture and the arts,aphorism,0,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0
51,A human must turn information into intelligence or knowledge we've tended to forget that no computer will ever ask a new question.,0,0,0,1,0,1,Technology and applied sciences,aphorism,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1
52,A husband is a guy who tells you when you`ve got on too much lipstick.,1,1,0,1,1,0,People and self,aphorism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0
53,A lawyer s opinion is worth nothing until paid for.,1,1,1,1,1,0,Philosophy and thinking,aphorism,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0
54,A life of leisure is a kingdom with less care than a kingdom requires.,1,0,1,1,1,0,People and self,aphorism,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,1,0,1,1
55,A loving heart maintains a family a hateful heart destroys it.,1,1,0,1,1,0,Human activities,aphorism,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
56,A low covid positivity rate should allow for restrictions to be loosened.,0,0,0,0,0,1,History and events,news media,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
57,A man finds himself seven years older the day after his marriage.,1,1,1,1,1,1,People and self,aphorism,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0
58,A man has one hundred dollars and you leave him with two dollars that`s subtraction.,0,0,1,1,0,1,General reference,aphorism,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1
59,A man in love is not complete until he is married then he is finished.,1,0,1,1,1,1,Society and social sciences,aphorism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
60,A man is a success if he gets up in the morning and goes to bed at night and in between does what he wants to do.,1,1,0,1,1,0,People and self,aphorism,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1
61,A man is not old as long as he is seeking something.,1,0,1,0,1,1,Human activities,aphorism,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1
62,A man loves his sweetheart the most his wife the best but his mother the longest.,1,0,0,1,1,1,Religion and belief systems,aphorism,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0
63,A man should be taller older heavier uglier and hoarser than his wife.,1,1,0,1,1,0,Philosophy and thinking,aphorism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
