statement,behavior,everyday,figure_of_speech,judgment,opinion,reasoning,category,elicitation
a doctor and a farmer know more than a doctor alone,0,0,0,0,0,1,History and events,aphorism
a dog doesn't want fleas,0,1,0,1,0,0,Natural and physical sciences,Concept Net
a fanatic is one who can`t change his mind and won`t change the subject,0,0,1,0,1,1,Culture and the arts,aphorism
a few people don t say what they think and some others don t think before they speak,1,1,1,1,1,0,People and self,aphorism
a few vices are sufficient to darken many virtues,1,0,1,1,1,0,Philosophy and thinking,aphorism
a fool is busy with anyone s business but his own,1,0,1,1,1,0,People and self,aphorism
a fracking ban should not be implemented,0,1,1,0,0,1,Health and fitness,news media
a freshman in college would drop out,1,0,0,0,1,0,Culture and the arts,category response
a full bladder would make you want to urinate,0,1,0,0,0,0,Health and fitness,Concept Net
a gardener s dog neither eats cabbage nor lets anybody else,1,1,1,1,1,0,People and self,aphorism
a gay person doesn't want homophobia,1,1,0,1,1,1,People and self,Concept Net
a generally accepted opinion is not on that basis guaranteed valid or a proof of its accuracy equally it is not proof of its falsity,1,0,1,1,0,1,Philosophy and thinking,aphorism
a goal should scare you a little and excite you a lot,1,0,0,1,1,1,General reference,aphorism
a good laugh and a long sleep are the best cures in the doctor s book,1,1,1,0,0,0,People and self,aphorism
a good logistics corridor will have great access to water rail highway and a large market for service,1,1,1,1,1,1,General reference,news media
a good marriage would be between a blind wife and a deaf husband,1,1,1,1,1,0,General reference,aphorism
a good nights sleep is often over looked by health nuts and fitness fanatics',1,1,0,1,1,0,Health and fitness,category response
a good way to be healthy is to exercise,0,0,0,0,0,1,Health and fitness,category response
a grain of sand is very small,1,0,0,0,0,0,Natural and physical sciences,Concept Net
a great boss would not make employees work overtime without compensation,0,1,0,1,0,1,Human activities,category response
a gregarious person doesn't want to be alone,1,0,0,1,0,1,People and self,Concept Net
a happy marriage is a long conversation which always seems too short,1,0,1,1,1,1,People and self,aphorism
a heart can no more be forced to love than a stomach can be forced to digest food by persuasion,1,0,1,1,1,1,Philosophy and thinking,aphorism
a hexagon will always have six sides,0,1,0,0,0,0,Mathematics and logic,category response
a hidden connection is stronger than an obvious one,0,0,1,0,0,0,Culture and the arts,aphorism
a human must turn information into intelligence or knowledge we've tended to forget that no computer will ever ask a new question,0,0,0,1,0,1,Technology and applied sciences,aphorism
a husband is a guy who tells you when you`ve got on too much lipstick,1,1,0,1,1,0,People and self,aphorism
a lawyer s opinion is worth nothing until paid for,1,1,1,1,1,0,Philosophy and thinking,aphorism
a life of leisure is a kingdom with less care than a kingdom requires,1,0,1,1,1,0,People and self,aphorism
a loving heart maintains a family a hateful heart destroys it,1,1,0,1,1,0,Human activities,aphorism
a low covid positivity rate should allow for restrictions to be loosened,0,0,0,0,0,1,History and events,news media
a man finds himself seven years older the day after his marriage,1,1,1,1,1,1,People and self,aphorism
a man has one hundred dollars and you leave him with two dollars that`s subtraction,0,0,1,1,0,1,General reference,aphorism
a man in love is not complete until he is married then he is finished,1,0,1,1,1,1,Society and social sciences,aphorism
a man is a success if he gets up in the morning and goes to bed at night and in between does what he wants to do,1,1,0,1,1,0,People and self,aphorism
a man is not old as long as he is seeking something,1,0,1,0,1,1,Human activities,aphorism
a man loves his sweetheart the most his wife the best but his mother the longest,1,0,0,1,1,1,Religion and belief systems,aphorism
a man should be taller older heavier uglier and hoarser than his wife,1,1,0,1,1,0,Philosophy and thinking,aphorism
a man who pays respect to the great paves the way for his own greatness,1,0,1,1,1,0,Culture and the arts,aphorism
a man with no legs cannot run,0,1,0,0,0,1,General reference,category response
a man without a trade is like a tree without fruit,1,0,1,1,1,0,People and self,aphorism
a man`s true character comes out when he`s drunk,1,1,0,1,1,1,People and self,aphorism
a man`s true secrets are more secret to himself than they are to others,1,0,1,0,1,0,Health and fitness,aphorism
a nation may lose its liberties in a day and not miss them in a century,0,1,0,0,0,0,Philosophy and thinking,aphorism
a need for information would make you want to go on the internet,1,1,1,1,0,1,People and self,Concept Net
a need for money would make you want to earn a living,1,1,0,1,1,1,Philosophy and thinking,Concept Net
a needle is sharp,0,1,0,0,0,0,Natural and physical sciences,Concept Net
a nickname is the hardest stone that the devil can throw at a man,1,0,1,1,1,0,History and events,aphorism
a number raised to another number is generally higher than the addition of those two numbers,1,1,1,0,1,0,Mathematics and logic,category response
a one and a one make an eleven,1,1,0,0,0,0,Mathematics and logic,category response
a part of kindness consists in loving people more than they deserve,1,1,0,1,1,1,People and self,aphorism
a person does not want be restricted,1,0,1,1,1,1,General reference,Concept Net
a person doesn't want a boring job,1,1,0,0,0,1,People and self,Concept Net
a person doesn't want a brain tumor,1,1,0,1,1,1,Health and fitness,Concept Net
a person doesn't want a broken finger,0,1,0,1,1,1,Health and fitness,Concept Net
a person doesn't want a broken heart,1,0,1,1,1,0,People and self,Concept Net
a person doesn't want a computer virus,0,1,0,0,0,1,Technology and applied sciences,Concept Net
a person doesn't want a fly in their soup,1,1,0,1,1,1,People and self,Concept Net
a person doesn't want a hangnail,1,1,0,1,1,0,People and self,Concept Net
a person doesn't want a heart attack,1,1,0,1,0,0,People and self,Concept Net
a person doesn't want a low paying job,1,0,0,1,1,0,Society and social sciences,Concept Net
a person doesn't want a slow internet connection,1,1,0,1,1,1,Technology and applied sciences,Concept Net
a person doesn't want abuse,1,1,0,1,1,0,Human activities,Concept Net
a person doesn't want an aching back,0,1,0,1,1,0,People and self,Concept Net
a person doesn't want an itch,1,1,0,0,1,0,Health and fitness,Concept Net
a person doesn't want an std,0,1,0,0,0,1,Health and fitness,Concept Net
a person doesn't want annoyance,1,1,0,1,1,0,Society and social sciences,Concept Net
a person doesn't want anxiety,1,1,1,1,0,0,Culture and the arts,Concept Net
a person doesn't want bad food,1,1,0,1,0,0,People and self,Concept Net
a person doesn't want boredom,1,1,0,1,0,0,People and self,Concept Net
a person doesn't want deception,1,0,0,1,1,0,Natural and physical sciences,Concept Net
a person doesn't want everything to be the same,1,1,0,1,1,1,People and self,Concept Net
a person doesn't want have to go to war,1,1,0,1,1,0,Human activities,Concept Net
a person doesn't want his computer to crash,1,1,0,1,1,1,People and self,Concept Net
a person doesn't want loose their job,1,1,0,1,0,1,People and self,Concept Net
a person doesn't want open sores,0,1,1,1,1,0,Culture and the arts,Concept Net
a person doesn't want schizophrenia,1,1,0,1,1,0,Health and fitness,Concept Net
a person doesn't want the truth,1,0,0,1,1,0,People and self,Concept Net
a person doesn't want to be alienated,1,1,0,1,1,0,People and self,Concept Net
a person doesn't want to be diseased,1,1,0,1,1,0,Health and fitness,Concept Net
a person doesn't want to be fearful,1,1,0,1,1,1,Human activities,Concept Net
a person doesn't want to be ill,1,1,0,1,1,1,People and self,Concept Net
a person doesn't want to be in a traffic jam,1,1,0,1,1,1,People and self,Concept Net
a person doesn't want to be in prison,1,1,0,1,1,0,People and self,Concept Net
a person doesn't want to be punished,1,1,0,1,1,0,People and self,Concept Net
a person doesn't want to be ridiculous,1,0,0,1,1,1,People and self,Concept Net
a person doesn't want to be shameful,1,1,1,1,1,1,General reference,Concept Net
a person doesn't want to break a leg,0,1,0,1,0,1,People and self,Concept Net
a person doesn't want to crash his car,1,1,0,1,0,0,Human activities,Concept Net
a person doesn't want to die alone,1,0,1,1,1,1,People and self,Concept Net
a person doesn't want to do something he isn't good at,1,0,0,1,1,1,General reference,Concept Net
a person doesn't want to do the job over,1,1,0,1,1,1,Human activities,Concept Net
a person doesn't want to do what doesn't interest him,1,1,0,1,1,0,People and self,Concept Net
a person doesn't want to fall out of love,1,0,0,1,1,0,People and self,Concept Net
a person doesn't want to have no home,1,1,0,1,1,0,People and self,Concept Net
a person doesn't want to hear bad news,1,0,0,0,0,0,People and self,Concept Net
a person doesn't want to lose their friends,1,1,0,1,0,1,People and self,Concept Net
a person doesn't want to make mistakes,1,1,0,1,1,0,People and self,Concept Net
a person doesn't want to pimples,1,1,0,1,1,0,People and self,Concept Net
a person doesn't want unpleasant things,1,1,0,1,1,1,People and self,Concept Net
a person in a desperate situation will try the most desperate measures,1,1,0,0,0,1,Health and fitness,aphorism
a person jogging in hot weather is more likely to sweat,1,1,0,0,0,1,Health and fitness,category response
a person on an empty train would hear a lot of people talking,0,0,0,0,0,1,General reference,category response
a person wearing a swimsuit is going to bed,0,1,1,1,0,1,People and self,category response
a person with a high fever is likely to be healthy,0,1,0,0,0,1,People and self,category response
a person's race is not relevant to their abilities,1,1,0,1,1,0,People and self,category response
a pessimist is one who has been intimately acquainted with an optimist,1,1,1,1,1,1,General reference,aphorism
a point of view has different perspectives,1,0,1,0,1,1,General reference,category response
a political man can have as his aim the realization of freedom but he has no means to realize it other than through violence,1,0,1,1,1,0,Philosophy and thinking,aphorism
a politician campaigning for the city council has to have experience working in the city,0,0,1,0,0,1,General reference,news media
a really busy person never knows how much he weighs,1,1,0,1,1,0,People and self,aphorism
a refusal of praise is a desire to be praised twice,0,1,0,1,0,0,General reference,aphorism
a sane person to an insane society must appear insane,1,1,1,1,1,0,General reference,aphorism
a ship in port is safe but that is not what ships are for,1,1,0,1,0,1,Philosophy and thinking,aphorism
a simple way of finding whether a gun is stolen is too look at its serial number,0,0,1,0,0,1,Health and fitness,news media
a smile is usually perceived as a positive emotion,0,1,0,1,0,1,General reference,category response
a society grows great when old men plant trees whose shade they know they shall never sit in,1,0,1,1,1,1,Philosophy and thinking,aphorism
a square has 4 sides,0,1,0,0,0,0,Mathematics and logic,category response
a strong wind would make you want to fly a kite,0,1,0,0,1,1,Human activities,Concept Net
a sword is sharp,0,1,0,0,0,1,General reference,Concept Net
a tack is sharp,0,1,0,0,0,0,General reference,Concept Net
a teacher who is not dogmatic is simply a teacher who is not teaching,1,1,0,1,1,1,Philosophy and thinking,aphorism
a theist is the opposite of an atheist,0,0,1,1,0,1,Religion and belief systems,category response
a theory is not a fact,1,0,0,1,0,1,Philosophy and thinking,category response
a war is not won if the defeated enemy has not been turned into a friend,1,0,1,1,1,1,Geography and places,aphorism
a wet sponge will soak up more water than a dry sponge,0,0,0,0,0,0,General reference,category response
a wise man in his house should find a wife gentle and courteous or no wife at all,0,0,0,1,0,0,General reference,aphorism
a wise man proportions his believes to the evidence,1,0,1,0,1,1,People and self,aphorism
a year from now you may wish you had started today,1,0,0,1,1,1,People and self,aphorism
abiding avoidant behavior in yourself is a road paved to only one thing getting better at avoidant behavior,1,0,0,0,1,1,Philosophy and thinking,aphorism
ability to think like the violin or piano requires daily practice,1,0,0,1,1,1,People and self,aphorism
abolish the police is an extreme stance taken by democrats,1,0,0,1,1,0,Society and social sciences,campaign email
abortion is a crime because life begins with conception,0,0,1,0,1,1,History and events,news media
access to healthcare and education should be a priority,1,1,0,1,1,0,General reference,campaign email
access to healthcare should be available for all without worry of debt,1,1,0,1,1,1,Society and social sciences,campaign email
acquaintance a person whom we know well enough to borrow from but not well enough to lend to,1,1,1,1,1,1,People and self,aphorism
act that we want to pass this session is prohibiting arrests for nonjailable,1,0,0,1,1,0,General reference,campaign email
add two numbers together will create a bigger number,0,0,0,0,0,0,General reference,category response
admiration and familiarity are strangers,1,0,0,1,1,0,People and self,aphorism
adults should supervise all fireworks activities,0,0,0,0,0,1,General reference,news media
advancements in technology can help save lives and improve the quality of life for everyone in the world,1,1,0,1,1,1,Technology and applied sciences,category response
advances in technology can have either very positive or awful consequences,0,0,0,1,1,0,Technology and applied sciences,category response
adversity is the trial of principle without it a man hardly knows whether he is honest or not,1,0,1,1,1,0,Philosophy and thinking,aphorism
advise and counsel him if he does not listen let adversity teach him,1,0,0,1,1,1,People and self,aphorism
aerobic workouts usually are good for you,1,0,0,1,1,0,Health and fitness,category response
africa is a continent,0,1,0,1,0,0,Geography and places,category response
after a certain point money is meaningless it ceases to be the goal the game is what counts,1,0,1,1,1,1,Philosophy and thinking,aphorism
after a trial one party is naked and the other without shirt,1,1,1,1,1,1,General reference,aphorism
airlines can ban emotional support animals because of their misbehavior and pet owners skirting airline rules and fees,1,1,0,1,0,0,Society and social sciences,news media
alcohol should be restricted for fans during sport games,1,1,0,1,1,0,People and self,news media
alcohol would make you want to sleep at night,0,1,0,1,0,0,Health and fitness,Concept Net
algebra uses variables,1,1,0,0,0,0,Mathematics and logic,category response
all art is autobiographical the pearl is the oyster`s autobiography,1,1,1,1,1,1,Culture and the arts,aphorism
all bad precedents begin as justifiable measures,1,0,0,1,1,1,People and self,aphorism
all fanatical creeds do harm they promote hatred and strife,1,1,0,1,1,0,Philosophy and thinking,aphorism
all great deeds and all great thoughts have a ridiculous beginning great works are often born on a street corner or in a restaurant`s revolving door,1,0,0,1,1,0,Philosophy and thinking,aphorism
all human beings are created equal,1,0,1,0,1,0,People and self,news media
all kinds of beauty do not inspire love there is a kind which only pleases the sight but does not captivate the affections,1,0,1,1,1,1,People and self,aphorism
all life is an experiment the more experiments you make the better,0,1,1,0,0,1,Human activities,aphorism
all memories people call to account are made up,0,0,0,0,0,0,Culture and the arts,category response
all our dreams can come true if we have the courage to pursue them,1,1,1,1,1,1,People and self,aphorism
all our evil comes from our inability to be alone,1,0,1,0,1,1,People and self,aphorism
all people are human,0,1,0,0,0,0,Natural and physical sciences,Concept Net
all religions have differences,0,1,0,1,0,0,Religion and belief systems,category response
all social movements are dismissed at some point as complaining over time they are recognized as speaking truth to power,0,1,0,0,0,0,Human activities,aphorism
all the continents used to be connected in one giant continent called pangea,0,1,0,0,0,0,Geography and places,category response
all the road's go to rome,0,0,0,0,1,1,General reference,category response
all truths are easy to understand once they are discovered the point is to discover them,0,0,0,0,1,1,Philosophy and thinking,aphorism
all which is not prose is verse and all which is not verse is prose,1,0,1,1,1,0,Culture and the arts,aphorism
all who have died are equal,1,0,1,0,1,0,History and events,aphorism
allowing eligible voters to vote online allows more voters to participate in elections and strengthens democracy,0,0,0,0,0,0,Society and social sciences,news media
allowing family visits to care homes during pandemic will enhance the quality of life and mental health of residents and their families,1,0,0,0,0,1,Health and fitness,news media
allowing guns is not about good guys with guns deterring violent crime because a study of 33 states indicates that permitting guns have increased violent crime from 13 to 15,1,0,0,0,0,1,Geography and places,news media
allowing people to have their own religious belief without disruption is kind,1,0,0,1,1,1,Religion and belief systems,category response
although a large and famous country britian is an island,0,0,0,1,1,1,General reference,category response
although some people who smoke live a very long life the more a person smokes the greater the risk to their health,0,0,0,0,1,1,Health and fitness,category response
although the world is not perfect it is yet the best that is possible,1,0,0,1,1,0,Philosophy and thinking,aphorism
although we can see others' reactions to their inner experience we cannot actually perceive or experience their actual inner experience their qualia,1,0,1,0,1,1,Culture and the arts,category response
altruism is commonsense for people,1,0,0,1,1,0,People and self,news media
altruism is the foundation of peaceful society,0,0,0,0,0,1,General reference,news media
always and never are two words you should always remember never to use,1,0,0,1,1,1,General reference,aphorism
always feel free to give a support,1,0,0,0,1,1,General reference,campaign email
always remember your focus determines your reality,1,0,0,1,0,1,Natural and physical sciences,aphorism
always triple check that your parts are compatible before buying computer parts,0,1,1,0,0,1,General reference,category response
always trust in god,1,0,0,0,0,1,Religion and belief systems,category response
ambition is not a vice of little people,1,0,0,1,1,0,People and self,aphorism
america did the right thing when it broke away from britain in 1776,1,1,0,1,1,0,History and events,news media
america is a place where courage and conviction can make a difference,1,1,0,1,1,1,General reference,campaign email
america should strive to uphold democracy and human rights across the world,1,0,0,0,1,0,General reference,news media
america's growing diversity should be welcomed and we protect them with laws against exploitation sexism and racism,1,0,0,1,1,0,Human activities,news media
american's need to enact pollicies that made american great again,1,0,0,1,1,1,History and events,campaign email
americans are done with hypocritical politicians,1,0,0,1,1,0,Society and social sciences,campaign email
americans are greedy as a society,1,1,0,1,1,1,Society and social sciences,news media
americans are hard working and have optimism,1,1,0,1,1,0,Culture and the arts,campaign email
americans have never been afraid of the future,1,1,0,1,1,1,Society and social sciences,campaign email
americans know what is right and wrong,1,1,0,1,1,1,Society and social sciences,campaign email
americans want progressive values,1,1,0,1,1,1,Society and social sciences,campaign email
americans want republican leaders,1,1,0,1,1,1,Society and social sciences,campaign email
americans with an intelligence are able to see who is worthy and who is not,1,0,0,1,1,1,People and self,campaign email
an accountant is good at mathematics and logic,0,0,0,0,0,0,Mathematics and logic,category response
an apple a day keeps the doctor away,1,0,0,1,1,0,Health and fitness,category response
an education isn`t how much you have committed to memory or even how much you know it`s being able to differentiate between what you know and what you don`t,0,0,1,1,1,1,General reference,aphorism
an eminent reputation is as dangerous as a bad one,0,0,0,1,0,1,Health and fitness,aphorism
an ideal wife is one who remains faithful to you but tries to be just as charming as if she weren`t,0,0,0,0,0,1,General reference,aphorism
an increase from 3 to 9 million cases of gout over a decade suggests that the change in human lifestyle influences the development of the disease,0,0,0,0,0,1,Health and fitness,news media
an intelligent hell would be better than a stupid paradise,1,0,1,1,1,0,Philosophy and thinking,aphorism
an invitation would make you want to go to a party,1,1,0,1,0,1,People and self,Concept Net
an open border leaves citizens unprotected and presents a conflict between the governed and the government,0,1,0,1,0,0,Society and social sciences,news media
an ounce of performance is worth pounds of promises,1,0,1,1,1,1,Philosophy and thinking,aphorism
anchors should not ask loaded questions to their interviewees,0,0,0,0,1,1,Human activities,news media
animal agriculture is responsible for many greenhouse gases therefore raising cattle causes global warming,0,0,0,0,0,1,History and events,news media
animals are instinctively afraid of the sight or even the track of man,0,0,0,0,0,1,Natural and physical sciences,aphorism
ann will help people who are in trouble,1,1,0,1,1,0,Human activities,campaign email
another democratic vote can help secure what's good for our future,1,0,0,1,1,1,Society and social sciences,campaign email
another victory like that one and we are lost,1,0,1,1,1,1,People and self,aphorism
antisemitism is evil and should be condemned,1,1,0,1,0,1,Religion and belief systems,news media
anxiety in children is originally nothing other than an expression of the fact they are feeling the loss of the person they love,0,1,1,1,1,1,General reference,aphorism
any number multiplied by one stays the same,0,1,1,0,1,1,Mathematics and logic,category response
any number multiplied by zero is always zero,0,1,0,0,0,0,Mathematics and logic,category response
anyone can talk to god but god only talks back to crazy people,1,0,1,1,1,0,Religion and belief systems,category response
anything that is too stupid to be spoken is sung,1,1,0,1,1,1,People and self,aphorism
apparently men can be cured of drugs drink gambling biting his nails and picking his nose but not of marrying,1,1,1,1,1,0,People and self,aphorism
apple can be red,0,1,0,1,0,0,Natural and physical sciences,Concept Net
apple has some of the best technology,1,1,1,0,1,0,General reference,category response
aristotle plato and socrates were greek philosophers,0,0,0,0,0,0,Culture and the arts,category response
arizonans have solid conservative values,0,0,0,0,1,1,General reference,campaign email
arresting criminals is for cops and courts not politicians,0,0,0,0,0,0,General reference,news media
art begins with resistance at the point where resistance is overcome no human masterpiece has ever been created without great labor,1,1,1,1,1,1,Culture and the arts,aphorism
art in museums can inspire people to write stories,1,1,0,1,1,1,Culture and the arts,category response
as a small businesswoman i know firsthand how the shutdown impacts our families,1,1,0,1,1,0,Society and social sciences,campaign email
as men advance in life all passions resolve themselves into money love ambition even poetry end in this,1,0,1,0,1,1,Geography and places,aphorism
as people go their own way destiny goes with them,1,0,1,1,1,0,Philosophy and thinking,aphorism
as society advances the standard of poverty rises,1,0,0,1,1,0,Society and social sciences,aphorism
asia is the largest continent in the whole world,0,1,0,0,0,0,Geography and places,category response
asking a writer what he thinks about criticism is like asking a lamppost what it feels about dogs,1,0,1,1,1,0,Culture and the arts,aphorism
assassination is the extreme form of censorship,1,0,1,1,0,0,People and self,aphorism
assist them in an invention help them scratch,0,0,0,0,1,1,Culture and the arts,situation response
at twenty everyone is republican,1,0,0,0,1,1,General reference,aphorism
australia is an island continent,1,1,1,0,0,0,Geography and places,category response
australia is the only island nation that is also a continent,0,1,0,0,0,0,General reference,category response
authority doesn`t work without prestige or prestige without distance,1,0,0,1,1,1,Society and social sciences,aphorism
avoid close contact with people who are ill,0,1,0,1,0,1,Health and fitness,campaign email
bad administration to be sure can destroy good policy but good administration can never save bad policy,1,0,1,1,1,1,Society and social sciences,aphorism
balls are round,0,1,0,0,0,0,General reference,Concept Net
basic actions to protect the spread of coronavirus are needed,1,0,0,1,1,0,Health and fitness,campaign email
basic math is used in everyday life,1,1,0,1,0,0,Mathematics and logic,category response
bats are the only flying mammal,0,1,0,0,0,0,General reference,category response
be approximately right rather than exactly wrong,1,1,1,1,1,0,General reference,aphorism
be clear be transparent be prepared be prepared to show your sources and be prepared to show your methodologies that backup your analysis,1,1,0,1,1,0,Human activities,aphorism
be gentle to your enemy same as to an old oven,1,0,1,1,1,0,Philosophy and thinking,aphorism
be too busy to have time for regrets,1,1,0,1,1,0,People and self,aphorism
be who you are and say what you feel because those who mind don't matter and those who matter don't mind,1,0,1,1,1,1,Philosophy and thinking,aphorism
be wiser than other people if you can but do not tell them so,1,1,1,1,1,0,General reference,aphorism
before a marriage a man will lie awake all night thinking about something you`ve said after marriage he`ll fall asleep before you finish saying it,1,1,1,1,1,1,People and self,aphorism
before receiving unemployment compensation a peron must show the proof of identity,0,1,0,1,0,0,Culture and the arts,news media
being bored would make you want to use a television,0,1,1,1,1,1,People and self,Concept Net
being bored would make you want to watch tv,1,1,0,1,1,1,Human activities,Concept Net
being cold would make you want to get warm,0,1,0,1,1,1,Health and fitness,Concept Net
being depressed would make you want to hit the bottle,1,1,1,1,1,1,People and self,Concept Net
being dirty would make you want to bathe,1,1,0,0,0,1,People and self,Concept Net
being dirty would make you want to take a bath,0,1,0,0,1,1,People and self,Concept Net
being healthy and exercising frequently can help improve your mental health,0,1,0,1,0,1,Health and fitness,category response
being hot would make you want to go for a swim,1,1,0,1,1,1,Human activities,Concept Net
being hungry would make you want to eat a hamburger,1,1,1,1,1,0,People and self,Concept Net
being hungry would make you want to eat dinner,0,1,0,1,0,1,Human activities,Concept Net
being hungry would make you want to go to a restaurant,1,1,0,1,1,0,People and self,Concept Net
being hungry would make you want to have lunch,0,1,0,1,1,1,Human activities,Concept Net
being hungry would make you want to make bread,1,1,0,1,1,1,People and self,Concept Net
being in a hurry would make you want to eat quickly,1,1,0,1,1,1,Human activities,Concept Net
being lonely would make you want to meet a friend,1,1,0,1,1,1,People and self,Concept Net
being obese is bad for your health,1,1,0,1,1,0,General reference,category response
being physically active could improve the quality of life in terms of how you feel each day,0,0,0,1,0,1,General reference,category response
being polite would make you want to wait your turn,1,1,0,1,1,1,People and self,Concept Net
being regularly sedentary is unhealthy,0,1,0,0,1,1,Health and fitness,category response
being religious means that you have faith in certain beliefs and practices dictated by the religion,0,0,0,1,0,0,Religion and belief systems,category response
being strong doesn't necessarily mean you're in shape,0,1,0,1,1,1,General reference,category response
being thirsty would make you want to drink,0,1,0,0,0,0,Human activities,Concept Net
being tired would make you want to have a rest,0,1,0,1,0,0,Health and fitness,Concept Net
being tired would make you want to sleep,0,1,0,0,0,0,Human activities,Concept Net
believers rely on their religion for spiritual support,1,1,1,1,0,1,General reference,category response
benchmark from where you were before not where you think you should be,1,1,1,1,1,1,Philosophy and thinking,aphorism
better a diamond with a flaw than a pebble without,1,1,1,1,1,0,Philosophy and thinking,aphorism
better give cherries to a pig than advice to a fool,0,0,0,0,1,1,General reference,aphorism
better to have loved and lost than not to have loved at all,0,1,0,1,0,1,General reference,aphorism
beware iced ponds are very cold hypothermia could happen if you enter water,0,1,0,0,0,1,Human activities,category response
beyond a certain point there is no return this point has to be reached,1,0,0,1,1,1,People and self,aphorism
bills will reduce the budge in the state,0,1,0,1,0,0,General reference,campaign email
biological boys should not be allowed to compete in sports with biological girls,1,1,0,1,1,1,General reference,news media
blessed is he who has found his work let him ask no other blessedness,0,0,1,0,1,1,General reference,aphorism
blood alone moves the wheels of history,1,0,1,0,1,1,People and self,aphorism
boredom would make you want to play games,1,1,0,1,1,1,People and self,Concept Net
both natural and physical sciences have specific roles that improve the quality of human lives,1,1,0,0,1,0,Natural and physical sciences,category response
both republicans and democrats should work together to find a compromise on the infrastructure bill,0,0,0,0,1,0,Health and fitness,news media
bottom is bottom even if it is turned upside down,1,0,1,0,0,1,Philosophy and thinking,aphorism
breathing is important but once you stop you never have to exercise again,0,1,0,1,0,0,Health and fitness,category response
buddhism originated in asia,1,1,0,0,0,0,Geography and places,category response
budgets should account for out of control costs to prevent calamities,0,0,1,0,1,1,Health and fitness,news media
buereaucratic inefficiences should be avoided,1,1,0,1,0,1,General reference,news media
burn the seed of false knowledge so it might not sprout again,0,0,1,1,0,1,Philosophy and thinking,aphorism
but these liberal proabortion extremists just don't get it,1,0,0,0,1,0,Culture and the arts,campaign email
butter is yellow,0,1,1,0,0,1,Natural and physical sciences,Concept Net
buying a shirt requires money,1,1,0,1,0,1,Philosophy and thinking,Concept Net
by his own verdict no guilty man was ever acquitted,0,1,0,0,0,1,Health and fitness,aphorism
by overcoming his passions a person overcomes his greatest enemies,1,0,0,1,1,0,People and self,aphorism
by the time the fool has learned the game the players have dispersed,1,0,1,0,1,1,People and self,aphorism
bytes are more than bits,0,0,0,0,0,0,General reference,category response
cake is sweet,0,1,0,1,0,0,General reference,Concept Net
calculus is a type of mathatics and logic that is very hard to understand,1,0,0,1,1,1,Mathematics and logic,category response
california needs to be made more livable and affordable,0,0,0,0,1,0,Geography and places,news media
calling mary's mother john would hang up immediately after she answers,0,0,0,0,0,1,Philosophy and thinking,category response
can i count on you to support me in this fight to better safegaurd public health,1,1,0,1,1,1,Natural and physical sciences,campaign email
canada is north of the united states,0,1,0,0,0,0,Geography and places,Concept Net
cancel culture should not be tolerated in a develpoed society,0,0,0,0,0,1,Religion and belief systems,news media
cancelling the keystone xl pipeline will mean the oil will have to be transported by rail which will only raise emissions,0,0,0,0,0,1,General reference,news media
caring for each other has never been a partisan issue in michigan,1,1,0,1,1,0,Society and social sciences,campaign email
catholic mass is usually held at church,1,1,0,1,0,0,Religion and belief systems,category response
cats have higher body temperatures and crave heat which is why they like confining themselves into tight spaces,0,1,0,0,0,0,Natural and physical sciences,category response
