ResponseId,duration,CRT,RME,age,education,race,gender,income,political_fiscal,political_social,political_party,marital_status
Response_45,1485,2,29,35,2-year college degree,White,Female,"$30,000 to $39,999",Somewhat Liberal,Somewhat Liberal,Democrat,Married or Domestic Partnership
Response_46,1681,6,33,41,4-year college degree,White,Male,"$50,000 to $59,999",Moderate,Strongly Liberal,Democrat,Married or Domestic Partnership
Response_47,1956,6,25,41,Post-college degree,White,Male,"$150,000 or more",Somewhat Conservative,Somewhat Conservative,Republican,Married or Domestic Partnership
Response_48,1198,0,13,30,2-year college degree,White,Male,"$30,000 to $39,999",Strongly Liberal,Strongly Liberal,Democrat,Single Never Married
Response_49,1907,0,15,41,4-year college degree,White,Female,"$40,000 to $49,999",Somewhat Conservative,Moderate,Democrat,Married or Domestic Partnership
Response_50,7931,1,29,31,2-year college degree,White,Female,"$90,000 to $99,999",Somewhat Liberal,Somewhat Liberal,Democrat,Single Never Married
Response_51,3867,2,25,30,4-year college degree,Black,Female,"$50,000 to $59,999",Strongly Liberal,Moderate,Democrat,Single Never Married
Response_52,2132,5,31,69,Post-college degree,White,Male,"$30,000 to $39,999",Somewhat Liberal,Strongly Liberal,Democrat,Divorced
Response_53,884,0,18,26,4-year college degree,White,Male,"$50,000 to $59,999",Strongly Conservative,Somewhat Conservative,Democrat,Married or Domestic Partnership
Response_54,1147,3,32,31,4-year college degree,White,Female,"$70,000 to $79,999",Somewhat Liberal,Strongly Liberal,Democrat,Single Never Married
Response_55,1074,0,29,42,4-year college degree,Asian,Female,"$50,000 to $59,999",Somewhat Liberal,Somewhat Liberal,Democrat,Single Never Married
Response_56,2623,4,28,54,4-year college degree,White,Male,"$70,000 to $79,999",Moderate,Somewhat Liberal,Independent,Married or Domestic Partnership
Response_57,1221,1,23,28,Post-college degree,White,Male,"$30,000 to $39,999",Somewhat Conservative,Somewhat Conservative,Republican,Single Never Married
Response_58,8737,2,33,44,2-year college degree,White,Male,"$70,000 to $79,999",Strongly Conservative,Strongly Conservative,Republican,Married or Domestic Partnership
Response_59,7739,0,10,27,4-year college degree,White,Male,"$50,000 to $59,999",Somewhat Conservative,Strongly Liberal,Democrat,Single Never Married
Response_60,656,0,12,31,4-year college degree,White,Male,"$40,000 to $49,999",Strongly Liberal,Somewhat Liberal,Democrat,Single Never Married
Response_61,1255,6,29,29,4-year college degree,Black,Female,"$60,000 to $69,999",Strongly Liberal,Strongly Liberal,Democrat,Married or Domestic Partnership
Response_62,1080,0,10,31,4-year college degree,White,Male,"$40,000 to $49,999",Strongly Liberal,Somewhat Liberal,Democrat,Married or Domestic Partnership
Response_63,860,6,34,29,4-year college degree,White,Female,"$40,000 to $49,999",Strongly Liberal,Strongly Liberal,Democrat,Single Never Married
Response_64,2233,0,9,24,4-year college degree,White,Female,"$30,000 to $39,999",Somewhat Liberal,Somewhat Liberal,Democrat,Single Never Married
Response_65,1126,1,16,27,4-year college degree,White,Male,"$50,000 to $59,999",Strongly Conservative,Strongly Conservative,Democrat,Married or Domestic Partnership
Response_66,1522,1,34,48,4-year college degree,White,Female,"$100,000 to $149,999",Somewhat Liberal,Somewhat Liberal,Democrat,Married or Domestic Partnership
Response_67,1285,1,32,37,Post-college degree,Indigenous,Male,"$30,000 to $39,999",Somewhat Liberal,Strongly Liberal,Independent,Single Never Married
Response_68,899,1,13,27,4-year college degree,White,Male,"$50,000 to $59,999",Strongly Conservative,Somewhat Conservative,Democrat,Married or Domestic Partnership
Response_69,1213,2,21,34,High school diploma,White,Male,"$50,000 to $59,999",Somewhat Conservative,Somewhat Conservative,Republican,Single Never Married
Response_70,2601,0,27,28,4-year college degree,White,Male,"$50,000 to $59,999",Moderate,Moderate,Independent,Married or Domestic Partnership
Response_71,1401,5,29,47,Some college or vocational training,White,Male,"$80,000 to $89,999",Somewhat Conservative,Somewhat Conservative,Independent,Married or Domestic Partnership
Response_72,1520,6,30,34,4-year college degree,White,Male,"$50,000 to $59,999",Moderate,Moderate,Democrat,Single Never Married
Response_73,2312,5,24,42,4-year college degree,White,Male,"$100,000 to $149,999",Somewhat Liberal,Somewhat Liberal,Democrat,Married or Domestic Partnership
Response_74,1451,1,27,41,High school diploma,White,Male,"$20,000 to $29,999",Somewhat Conservative,Moderate,Republican,Single Never Married
Response_75,5187,1,14,31,4-year college degree,White,Male,"$40,000 to $49,999",Strongly Conservative,Strongly Conservative,Republican,Married or Domestic Partnership
Response_76,2092,1,29,31,2-year college degree,Black,Male,"$50,000 to $59,999",Moderate,Moderate,Republican,Single Never Married
Response_77,670,0,9,27,4-year college degree,White,Male,"$90,000 to $99,999",Somewhat Conservative,Somewhat Conservative,Democrat,Single Never Married
Response_78,300,1,19,33,4-year college degree,White,Male,"$40,000 to $49,999",Moderate,Moderate,Republican,Single Never Married
Response_79,753,3,23,31,High school diploma,White,Male,"$10,000 to $19,999",Somewhat Liberal,Somewhat Liberal,Democrat,Single Never Married
Response_80,919,1,32,24,4-year college degree,White,Female,"$30,000 to $39,999",Somewhat Liberal,Somewhat Liberal,Independent,Single Never Married
Response_81,1138,3,27,27,Some college or vocational training,White,Female,"$20,000 to $29,999",Strongly Liberal,Strongly Liberal,Democrat,Single Never Married
Response_82,1019,3,13,36,4-year college degree,White,Female,"$40,000 to $49,999",Somewhat Liberal,Somewhat Liberal,Democrat,Married or Domestic Partnership
Response_83,1017,0,27,29,4-year college degree,White,Female,"$10,000 to $19,999",Strongly Liberal,Strongly Liberal,Democrat,Single Never Married
Response_84,1025,0,25,28,Some college or vocational training,White,Female,"$70,000 to $79,999",Somewhat Liberal,Somewhat Liberal,Democrat,Single Never Married
Response_85,1048,1,32,39,High school diploma,White,Male,"$100,000 to $149,999",Somewhat Liberal,Somewhat Liberal,Independent,Married or Domestic Partnership
Response_86,1155,4,31,33,4-year college degree,White,Female,"$60,000 to $69,999",Somewhat Conservative,Somewhat Conservative,Republican,Married or Domestic Partnership
Response_87,1247,0,32,36,4-year college degree,White,Female,"$150,000 or more",Somewhat Liberal,Somewhat Liberal,Democrat,Married or Domestic Partnership
Response_88,852,1,17,34,2-year college degree,White,Male,"$40,000 to $49,999",Moderate,Moderate,Democrat,Married or Domestic Partnership
Response_89,926,0,24,45,Some college or vocational training,White,Female,"$50,000 to $59,999",Moderate,Moderate,Independent,Married or Domestic Partnership
Response_90,1125,5,30,63,4-year college degree,White,Male,"$100,000 to $149,999",Strongly Liberal,Strongly Liberal,Democrat,Married or Domestic Partnership
Response_91,1342,5,31,36,4-year college degree,Asian,Male,"$70,000 to $79,999",Somewhat Liberal,Strongly Liberal,Democrat,Single Never Married
Response_92,1362,0,14,44,4-year college degree,White,Male,"$50,000 to $59,999",Somewhat Conservative,Strongly Conservative,Republican,Married or Domestic Partnership
Response_93,659,0,5,27,4-year college degree,White,Male,"$80,000 to $89,999",Somewhat Conservative,Somewhat Conservative,Democrat,Single Never Married
Response_94,1015,1,26,50,Post-college degree,White,Female,"$150,000 or more",Somewhat Liberal,Somewhat Liberal,Democrat,Married or Domestic Partnership
Response_95,1392,5,24,31,4-year college degree,White,Female,"$100,000 to $149,999",Strongly Liberal,Strongly Liberal,Democrat,Single Never Married
Response_96,1383,5,31,33,2-year college degree,White,Male,"$40,000 to $49,999",Moderate,Somewhat Liberal,Independent,Single Never Married
Response_97,813,3,27,45,4-year college degree,White,Male,"$100,000 to $149,999",Somewhat Conservative,Somewhat Liberal,Independent,Married or Domestic Partnership
Response_98,1306,1,32,50,Some college or vocational training,Asian,Female,"$90,000 to $99,999",Moderate,Moderate,Independent,Single Never Married
Response_99,1525,5,30,35,4-year college degree,White,Male,"$10,000 to $19,999",Strongly Liberal,Strongly Liberal,Democrat,Single Never Married
Response_100,1108,6,26,47,Doctoral degree,White,Male,"$60,000 to $69,999",Somewhat Liberal,Strongly Liberal,Democrat,Married or Domestic Partnership
Response_101,1331,6,35,41,4-year college degree,White,Male,"$150,000 or more",Somewhat Liberal,Strongly Liberal,Democrat,Married or Domestic Partnership
Response_102,1569,1,24,71,2-year college degree,White,Male,"$150,000 or more",Strongly Conservative,Somewhat Conservative,Republican,Married or Domestic Partnership
Response_103,1597,0,31,41,4-year college degree,White,Male,"$50,000 to $59,999",Somewhat Liberal,Strongly Liberal,Democrat,Single Never Married
Response_104,1602,6,25,25,4-year college degree,Asian,Female,"$100,000 to $149,999",Moderate,Somewhat Liberal,Democrat,Married or Domestic Partnership
Response_105,779,6,31,36,High school diploma,White,Male,"$30,000 to $39,999",Strongly Liberal,Strongly Liberal,Democrat,Single Never Married
Response_106,1369,5,30,26,4-year college degree,Asian,Male,"$10,000 to $19,999",Strongly Liberal,Strongly Liberal,Democrat,Single Never Married
Response_107,1410,3,25,45,Post-college degree,White,Female,"$100,000 to $149,999",Somewhat Conservative,Moderate,Republican,Married or Domestic Partnership
Response_108,1442,4,24,45,Some college or vocational training,White,Female,"$40,000 to $49,999",Somewhat Conservative,Moderate,Independent,Married or Domestic Partnership
Response_109,1232,1,27,31,4-year college degree,White,Female,"$100,000 to $149,999",Somewhat Conservative,Somewhat Conservative,Republican,Married or Domestic Partnership
Response_110,1653,6,33,53,4-year college degree,White,Female,"$30,000 to $39,999",Strongly Conservative,Somewhat Conservative,Republican,Married or Domestic Partnership
Response_111,1015,6,23,26,High school diploma,White,Male,"$40,000 to $49,999",Somewhat Liberal,Somewhat Liberal,Democrat,Single Never Married
Response_112,1484,1,29,55,Some college or vocational training,White,Female,"$100,000 to $149,999",Moderate,Moderate,Independent,Married or Domestic Partnership
Response_113,1673,5,20,62,4-year college degree,White,Female,"$40,000 to $49,999",Strongly Liberal,Strongly Liberal,Democrat,Married or Domestic Partnership
Response_114,1686,5,25,46,Doctoral degree,Asian,Male,"$100,000 to $149,999",Somewhat Conservative,Somewhat Conservative,Republican,Married or Domestic Partnership
Response_115,1121,0,20,26,High school diploma,White,Female,"Less than $10,000",Strongly Liberal,Strongly Liberal,Democrat,Single Never Married
Response_116,1409,1,26,49,High school diploma,White,Female,"$30,000 to $39,999",Moderate,Moderate,Independent,Divorced
Response_117,1164,0,26,38,Post-college degree,White,Female,"$150,000 or more",Somewhat Liberal,Strongly Liberal,Democrat,Married or Domestic Partnership
Response_118,1500,6,20,50,4-year college degree,White,Female,"$80,000 to $89,999",Strongly Liberal,Strongly Liberal,Democrat,Married or Domestic Partnership
Response_119,1617,1,29,48,Some college or vocational training,White,Female,"$30,000 to $39,999",Somewhat Liberal,Strongly Liberal,Democrat,Divorced
Response_120,2494,6,31,56,"Professional degree (JD, MD)",White,Male,"$90,000 to $99,999",Somewhat Liberal,Somewhat Liberal,Democrat,Divorced
Response_121,1737,1,30,28,2-year college degree,Asian,Male,"$60,000 to $69,999",Strongly Liberal,Strongly Liberal,Independent,Single Never Married
Response_122,5684,0,28,58,2-year college degree,White,Female,"$10,000 to $19,999",Somewhat Liberal,Strongly Liberal,Democrat,Single Never Married
Response_123,1482,5,29,65,2-year college degree,White,Female,"$10,000 to $19,999",Somewhat Conservative,Somewhat Liberal,Democrat,Divorced
Response_124,1015,2,34,32,4-year college degree,White,Male,"$70,000 to $79,999",Strongly Liberal,Strongly Liberal,Democrat,Single Never Married
Response_125,1609,4,26,53,Some college or vocational training,White,Female,"$40,000 to $49,999",Somewhat Conservative,Somewhat Liberal,Democrat,Divorced
Response_126,1926,2,27,55,Post-college degree,White,Female,"$100,000 to $149,999",Moderate,Moderate,Independent,Married or Domestic Partnership
Response_127,1652,6,35,52,Some college or vocational training,White,Male,"Less than $10,000",Somewhat Liberal,Strongly Liberal,Democrat,Single Never Married
Response_128,1554,0,28,46,Some college or vocational training,White,Male,"$10,000 to $19,999",Somewhat Conservative,Somewhat Conservative,Republican,Married or Domestic Partnership
Response_129,1991,6,31,36,4-year college degree,White,Male,"$150,000 or more",Somewhat Liberal,Somewhat Liberal,Democrat,Single Never Married
Response_130,1451,5,27,48,2-year college degree,White,Female,"$30,000 to $39,999",Strongly Liberal,Strongly Liberal,Democrat,Single Never Married
Response_131,1823,6,35,41,Doctoral degree,White,Male,"$90,000 to $99,999",Moderate,Somewhat Liberal,Democrat,Married or Domestic Partnership
Response_132,1800,4,30,38,Post-college degree,White,Female,"$80,000 to $89,999",Somewhat Liberal,Somewhat Liberal,Democrat,Single Never Married
Response_133,1540,1,29,33,Some college or vocational training,White,Female,"$10,000 to $19,999",Strongly Liberal,Strongly Liberal,Democrat,Single Never Married
Response_134,1184,2,25,31,High school diploma,White,Female,"$50,000 to $59,999",Somewhat Liberal,Somewhat Liberal,Democrat,Married or Domestic Partnership
Response_135,1669,5,26,39,4-year college degree,Indigenous,Male,"$50,000 to $59,999",Somewhat Conservative,Somewhat Conservative,Republican,Married or Domestic Partnership
Response_136,1563,6,29,62,Post-college degree,White,Male,"$70,000 to $79,999",Strongly Liberal,Strongly Liberal,Democrat,Married or Domestic Partnership
Response_137,1873,2,26,29,High school diploma,White,Male,"$100,000 to $149,999",Somewhat Liberal,Somewhat Liberal,Democrat,Single Never Married
Response_138,2107,0,30,35,4-year college degree,White,Male,"$50,000 to $59,999",Somewhat Liberal,Somewhat Liberal,Democrat,Single Never Married
Response_139,1812,1,21,67,Some college or vocational training,White,Male,"$40,000 to $49,999",Somewhat Conservative,Somewhat Conservative,Republican,Married or Domestic Partnership
Response_140,1520,2,25,65,High school diploma,White,Female,"$30,000 to $39,999",Somewhat Liberal,Somewhat Liberal,Democrat,Single Never Married
Response_141,1669,0,6,28,4-year college degree,White,Male,"$50,000 to $59,999",Somewhat Liberal,Somewhat Liberal,Republican,Married or Domestic Partnership
Response_142,1975,2,27,28,4-year college degree,Asian,Male,"$50,000 to $59,999",Somewhat Liberal,Somewhat Liberal,Democrat,Single Never Married
Response_143,1128,5,25,34,Doctoral degree,Indigenous,Male,"$100,000 to $149,999",Somewhat Liberal,Somewhat Liberal,Democrat,Married or Domestic Partnership
Response_144,1950,4,32,47,4-year college degree,White,Male,"$60,000 to $69,999",Somewhat Conservative,Strongly Conservative,Republican,Married or Domestic Partnership
Response_145,1793,6,34,33,Some college or vocational training,White,Male,"$60,000 to $69,999",Strongly Liberal,Strongly Liberal,Independent,Single Never Married
Response_146,1660,5,23,67,Post-college degree,White,Male,"$40,000 to $49,999",Somewhat Liberal,Somewhat Liberal,Democrat,Married or Domestic Partnership
Response_147,975,5,33,33,Doctoral degree,White,Male,"$100,000 to $149,999",Strongly Liberal,Strongly Liberal,Democrat,Married or Domestic Partnership
Response_148,2013,1,29,34,2-year college degree,White,Female,"$30,000 to $39,999",Somewhat Liberal,Somewhat Liberal,Democrat,Single Never Married
Response_149,2308,6,27,73,4-year college degree,White,Male,"$40,000 to $49,999",Somewhat Conservative,Somewhat Liberal,Independent,Married or Domestic Partnership
Response_150,2120,6,21,30,4-year college degree,Black,Male,"$50,000 to $59,999",Strongly Liberal,Strongly Liberal,Democrat,Single Never Married
Response_151,2419,5,22,29,Some college or vocational training,White,Female,"$20,000 to $29,999",Somewhat Liberal,Somewhat Liberal,Democrat,Single Never Married
Response_152,2144,3,26,28,4-year college degree,Asian,Male,"$40,000 to $49,999",Somewhat Liberal,Somewhat Liberal,Democrat,Single Never Married
Response_153,1114,6,27,52,Post-college degree,White,Male,"$100,000 to $149,999",Somewhat Liberal,Strongly Liberal,Democrat,Married or Domestic Partnership
Response_154,1843,1,28,39,High school diploma,White,Male,"$10,000 to $19,999",Strongly Liberal,Strongly Liberal,Democrat,Single Never Married
Response_155,2266,6,28,63,Post-college degree,Asian,Female,"$40,000 to $49,999",Strongly Liberal,Somewhat Liberal,Democrat,Married or Domestic Partnership
Response_156,2537,3,32,48,Some college or vocational training,White,Female,"$20,000 to $29,999",Somewhat Conservative,Somewhat Liberal,Democrat,Single Never Married
Response_157,2576,2,36,31,4-year college degree,White,Male,"$60,000 to $69,999",Moderate,Somewhat Liberal,Democrat,Single Never Married
Response_158,2383,5,19,60,Doctoral degree,Asian,Female,"$150,000 or more",Strongly Conservative,Somewhat Conservative,Republican,Married or Domestic Partnership
Response_159,2348,6,27,85,Some college or vocational training,White,Male,"$50,000 to $59,999",Somewhat Liberal,Somewhat Liberal,Democrat,Widowed
Response_160,1026,1,27,34,4-year college degree,White,Female,"$90,000 to $99,999",Strongly Liberal,Strongly Liberal,Democrat,Married or Domestic Partnership
Response_161,2125,3,32,76,Post-college degree,White,Female,"$100,000 to $149,999",Strongly Liberal,Strongly Liberal,Independent,Single Never Married
Response_162,2309,0,22,72,2-year college degree,White,Female,"$20,000 to $29,999",Strongly Conservative,Strongly Conservative,Republican,Divorced
Response_163,1380,3,28,44,Post-college degree,White,Male,"$150,000 or more",Somewhat Liberal,Strongly Liberal,Democrat,Married or Domestic Partnership
Response_164,1246,5,31,26,4-year college degree,White,Male,"$30,000 to $39,999",Somewhat Liberal,Somewhat Liberal,Democrat,Single Never Married
Response_165,1226,0,11,25,4-year college degree,White,Male,"$50,000 to $59,999",Somewhat Conservative,Strongly Conservative,Democrat,Married or Domestic Partnership
Response_166,2559,3,26,28,4-year college degree,Asian,Female,"$90,000 to $99,999",Moderate,Moderate,Independent,Divorced
Response_167,2657,0,30,74,Some college or vocational training,White,Female,"$20,000 to $29,999",Somewhat Liberal,Somewhat Liberal,Democrat,Single Never Married
Response_168,1895,2,20,66,High school diploma,White,Female,"$30,000 to $39,999",Moderate,Moderate,Independent,Widowed
Response_169,2146,3,31,38,4-year college degree,White,Female,"$70,000 to $79,999",Somewhat Liberal,Strongly Liberal,Democrat,Married or Domestic Partnership
Response_170,2105,4,26,47,4-year college degree,White,Male,"$20,000 to $29,999",Moderate,Strongly Conservative,Republican,Single Never Married
Response_171,1872,2,27,52,Post-college degree,White,Male,"$100,000 to $149,999",Somewhat Conservative,Somewhat Conservative,Republican,Married or Domestic Partnership
Response_172,1440,2,28,38,4-year college degree,White,Male,"$60,000 to $69,999",Moderate,Somewhat Liberal,Democrat,Single Never Married
Response_173,1669,5,33,40,Post-college degree,White,Male,"$100,000 to $149,999",Somewhat Liberal,Somewhat Liberal,Democrat,Married or Domestic Partnership
Response_174,3069,6,26,63,4-year college degree,Asian,Female,"$20,000 to $29,999",Moderate,Moderate,Independent,Single Never Married
Response_175,2821,6,34,66,Some college or vocational training,White,Male,"$20,000 to $29,999",Somewhat Conservative,Strongly Conservative,Independent,Separated
Response_176,3118,1,1,32,4-year college degree,Black,Male,"$60,000 to $69,999",Moderate,Moderate,Democrat,Married or Domestic Partnership
Response_177,1970,3,29,58,2-year college degree,White,Male,"$20,000 to $29,999",Strongly Conservative,Strongly Conservative,Republican,Single Never Married
Response_178,1695,0,30,53,4-year college degree,White,Male,"$150,000 or more",Somewhat Conservative,Somewhat Liberal,Independent,Married or Domestic Partnership
Response_179,2357,5,32,27,Some college or vocational training,White,Male,"$50,000 to $59,999",Moderate,Strongly Conservative,Independent,Single Never Married
Response_180,1691,6,32,38,4-year college degree,Asian,Male,"$100,000 to $149,999",Strongly Liberal,Strongly Liberal,Democrat,Single Never Married
Response_181,1385,5,31,48,Post-college degree,Asian,Female,"$60,000 to $69,999",Strongly Liberal,Strongly Liberal,Independent,Separated
Response_182,3215,6,29,32,Post-college degree,White,Male,"$90,000 to $99,999",Somewhat Liberal,Somewhat Liberal,Independent,Married or Domestic Partnership
Response_183,1692,1,32,52,4-year college degree,White,Male,"$50,000 to $59,999",Strongly Liberal,Somewhat Liberal,Democrat,Single Never Married
Response_184,2535,2,27,50,2-year college degree,White,Female,"$30,000 to $39,999",Somewhat Conservative,Moderate,Independent,Married or Domestic Partnership
Response_185,2055,3,30,61,4-year college degree,White,Female,"$100,000 to $149,999",Somewhat Conservative,Somewhat Conservative,Republican,Married or Domestic Partnership
Response_186,1739,5,29,24,High school diploma,White,Female,"$70,000 to $79,999",Strongly Liberal,Strongly Liberal,Democrat,Single Never Married
Response_187,1921,0,24,67,2-year college degree,White,Female,"$20,000 to $29,999",Strongly Conservative,Strongly Conservative,Republican,Divorced
Response_188,2052,1,26,50,4-year college degree,White,Female,"$50,000 to $59,999",Strongly Conservative,Strongly Conservative,Republican,Divorced
Response_189,2414,0,33,32,4-year college degree,Black,Female,"$80,000 to $89,999",Somewhat Liberal,Strongly Liberal,Democrat,Married or Domestic Partnership
Response_190,1120,6,31,35,4-year college degree,White,Male,"$50,000 to $59,999",Strongly Liberal,Strongly Liberal,Democrat,Single Never Married
Response_191,2808,3,31,51,4-year college degree,Indigenous,Female,"$40,000 to $49,999",Moderate,Moderate,Independent,Married or Domestic Partnership
Response_192,3136,5,27,27,4-year college degree,Asian,Female,"$30,000 to $39,999",Strongly Liberal,Strongly Liberal,Democrat,Single Never Married
Response_193,1140,6,30,27,4-year college degree,White,Male,"$80,000 to $89,999",Somewhat Conservative,Somewhat Liberal,Democrat,Single Never Married
Response_194,1815,1,31,51,Some college or vocational training,White,Male,"$90,000 to $99,999",Moderate,Moderate,Independent,Married or Domestic Partnership
Response_195,1647,6,26,39,4-year college degree,White,Female,"$30,000 to $39,999",Somewhat Liberal,Somewhat Liberal,Democrat,Married or Domestic Partnership
Response_196,1563,4,28,58,Post-college degree,White,Female,"$100,000 to $149,999",Moderate,Strongly Liberal,Democrat,Married or Domestic Partnership
Response_197,3433,2,31,57,4-year college degree,White,Female,"$60,000 to $69,999",Somewhat Liberal,Somewhat Liberal,Democrat,Single Never Married
Response_198,1285,1,29,64,4-year college degree,White,Female,"$150,000 or more",Moderate,Moderate,Democrat,Married or Domestic Partnership
Response_199,1809,6,26,38,4-year college degree,White,Male,"$50,000 to $59,999",Somewhat Conservative,Somewhat Liberal,Democrat,Single Never Married
